objectid,subject,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,COMMONNAME,format,LEGALNAME,AKADBA,ADSTREET,ADCITY,ADSTATE,ADZIP,ADZIP5,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,PHONE,WEBURL,IRS_NAME15,TAXPER15,INCOMECD15,INCOME15,REVENUE15,IRS_STREET15,IRS_CITY15,IRS_STATE15,IRS_ZIP15,RULEDATE15,IPEDS,INSTNAME,INSTCITY,INSTST,LONGITUDE,LATITUDE,AAMREG,BEAREG,LOCALE4,FIPSST,FIPSCO,GSTREET,GCITY,GSTATE,GZIP,GZIP5,BMF15_F,IMLSAD_F,PFND_F,FCT3P_F,USER_F,UNI_F,OTHER_F,SOURCE
8404801285,HST,demo_001.jpg,742879023,,A54,194583431,,WOMENS MUSEUM AN INSTITUTE FOR THE FUTURE,image/jpeg,WOMENS MUSEUM AN INSTITUTE FOR THE FUTURE,,3800 PARRY AVE,DALLAS,TX,75226-1752,75226,,,,,,,,,,,,,,,,,,,,,,-96.76587,32.78286,5,6,1,48,113,3800 PARRY AVE,DALLAS,TX,75226-1752,75226,0,0,1,0,0,0,0,
8400600033,HST,demo_001.jpg,953893212,,A54,024367760,712120,WOMENS HISTORY MUSEUM AND EDUCATION CENTER,image/jpeg,WOMENS HISTORY RECLAMATION PROJECT INC,,2323 BROADWAY,SAN DIEGO,CA,92102,92102,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102,92102,6192337963,HTTP://WOMENSMUSEUMCA.ORG/,WOMENS HISTORY RECLAMATION PROJECT INC,201312,4,174870,152447,2730 HISTORIC DECATUR RD,SAN DIEGO,CA,92106-6011,198410,,,,,-117.21217,32.73884,6,8,1,06,073,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102,92102,1,0,0,1,0,0,0,
8409400768,GMU,demo_001.jpg,,,,,,WOMEN'S RIGHTS NATIONAL HISTORICAL PARK,image/jpeg,WOMEN'S RIGHTS NATIONAL HISTORICAL PARK,,136 FALL ST.,SENECA FALLS,NY,13148,13148,,,,,,,,,,,,,,,,,,,,,,-76.80077,42.91064,2,2,4,36,099,136 FALL ST.,SENECA FALLS,NY,13148,13148,0,0,0,0,0,1,0,0
8400602759,GMU,demo_001.jpg,953893212,,A54,024367760,712120,WOMEN'S MUSEUM OF CALIFORNIA,image/jpeg,WOMENS HISTORY RECLAMATION PROJECT INC,,2323 BROADWAY STE 107,SAN DIEGO,CA,92102-1946,92102,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102-1946,92102,6192337963,HTTP://WOMENSMUSEUMCA.ORG/,WOMENS HISTORY RECLAMATION PROJECT INC,201312,4,174870,152447,2730 HISTORIC DECATUR RD,SAN DIEGO,CA,92106-6011,198410,,,,,-117.21217,32.73884,6,8,1,06,073,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102-1946,92102,1,1,1,0,0,0,0,0
8409504362,ART,demo_001.jpg,344430762,,B42,,611310,WOMEN'S COMMISSION ART GALLERY,image/jpeg,DEFIANCE COLLEGE,,701 N CLINTON,DEFIANCE,OH,43512,43512,,,,,,,https://www.defiance.edu/offices/womens-commission-art-gallery.html,DEFIANCE COLLEGE,201406,8,29873186,29873186,701 N CLINTON ST,DEFIANCE,OH,43512-1610,194611,202514,DEFIANCE COLLEGE,DEFIANCE,OH,-84.36063,41.29578,4,3,3,39,039,701 N CLINTON ST,DEFIANCE,OH,43512-1610,43512,1,0,0,0,0,1,0,
8402100006,GMU,demo_001.jpg,,,,,,WOMEN'S CIVIL WAR MUSEUM,image/jpeg,WOMEN'S CIVIL WAR MUSEUM,,204 E BROADWAY ST,BARDSTOWN,KY,40004,40004,,,,,,5023500632,HTTP://CIVIL-WAR-MUSEUM.ORG/,,,,,,,,,,,,,,,-85.46341,37.8115,3,5,3,21,179,204 E BROADWAY ST,BARDSTOWN,KY,40004,40004,0,0,0,0,1,0,0,0
8404700017,GMU,demo_001.jpg,621465889,,N60,,713990,WOMEN'S BASKETBALL HALL OF FAME,image/jpeg,HALL OF FAME MANAGEMENT INC,,700 HALL OF FAME DR,KNOXVILLE,TN,37915,37915,,,,,,8656339000,HTTP://WWW.WBHOF.COM,HALL OF FAME MANAGEMENT INC,201406,6,1859598,686203,700 HALL OF FAME DR,KNOXVILLE,TN,37915-3240,199210,,,,,-83.91156,35.96388,3,5,1,47,093,700 HALL OF FAME DR,KNOXVILLE,TN,37915-3240,37915,1,0,0,0,1,0,0,0
8400400382,HST,demo_001.jpg,860750873,,A54,,712110,WOMEN'S AIRFORCE SERVICE PILOTS MUSEUM,image/jpeg,W A S P MUSEUM INC,,PO BOX 619,QUARTZSITE,AZ,85346-0619,85346,PO BOX 6,QUARTZSITE,AZ,85346-0619,85346,9289275555,HTTP://WASPMUSEUM.COM/,W A S P MUSEUM INC,201212,0,0,,PO BOX 619,QUARTZSITE,AZ,85346-0619,199501,,,,,-114.2174,33.66642,6,6,3,04,012,PO BOX 6,QUARTZSITE,AZ,85346-0619,85346,1,0,0,0,0,0,0,
8401200583,ART,demo_001.jpg,452969541,,A51,,712110,WOMEN PAINTERS OF THE SOUTHEAST,image/jpeg,WOMEN PAINTERS OF THE SOUTHEAST,,4144 HERSCHEL ST,JACKSONVILLE,FL,32210-2244,32210,,,,,,9043888205,,WOMEN PAINTERS OF THE SOUTHEAST,201312,2,23538,23538,4144 HERSCHEL ST,JACKSONVILLE,FL,32210-2244,201209,,,,,-81.71334,30.28711,3,5,1,12,031,4144 HERSCHEL ST,JACKSONVILLE,FL,32210-2244,32210,1,0,0,0,0,0,0,
8400800527,GMU,demo_001.jpg,841177682,,A54,959650979,,WOMEN OF WEST MUSEUM,image/jpeg,WOMEN OF WEST MUSEUM,,250 BRISTLECONE WAY,BOULDER,CO,80304-0413,80304,250 BRISTLECONE WAY,BOULDER,CO,80304-0413,80304,3034999110,HTTP://WWW.WOWMUSEUM.ORG,,,,,,,,,,,,,,,-105.32339,40.04004,5,7,4,08,013,250 BRISTLECONE WAY,BOULDER,CO,80304-0413,80304,0,1,0,0,0,0,0,0
