objectid,subject,discipline,format,filename,EIN,CO_LOC_RES,NTEEC,DUNS,NAICS,headline,title,description,AKADBA,ADSTREET,ADCITY,ADZIP,PHSTREET,PHCITY,PHSTATE,PHZIP,PHZIP5,WEBURL,INCOMECD15,INCOME15,REVENUE15,date,month,longitude,latitude,GSTREET,GCITY,GSTATE,GZIP5,
8404801285,HST,History Museum,image/jpeg,demo_001.jpg,742879023,,A54,194583431,,WOMEN'S MUSEUM AN INSTITUTE FOR THE FUTURE,WOMEN'S MUSEUM AN INSTITUTE FOR THE FUTURE,WOMEN'S MUSEUM AN INSTITUTE FOR THE FUTURE,,3800 PARRY AVE,DALLAS,75226-1752,,,,,,,,,,2000,,-96.76514626,32.78321952,3800 PARRY AVE,DALLAS,TX,75226,*looks like it's permanently closed
8400600033,HST,History Museum,image/jpeg,demo_001.jpg,953893212,,A54,024367760,712120,WOMEN'S HISTORY MUSEUM AND EDUCATION CENTER,WOMEN'S HISTORY MUSEUM AND EDUCATION CENTER,WOMEN'S HISTORY RECLAMATION PROJECT INC,,2323 BROADWAY,SAN DIEGO,92102,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102,92102,HTTP://WOMENSMUSEUMCA.ORG/,4,174870,152447,1984,10,-117.1486735,32.73128599,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102,
8409400768,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,,,,,,WOMEN'S RIGHTS NATIONAL HISTORICAL PARK,WOMEN'S RIGHTS NATIONAL HISTORICAL PARK,WOMEN'S RIGHTS NATIONAL HISTORICAL PARK,,136 FALL ST.,SENECA FALLS,13148,,,,,,,,,,1980,12,-76.80011295,42.91096917,136 FALL ST.,SENECA FALLS,NY,13148,
8400602759,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,953893212,,A54,024367760,712120,WOMEN'S MUSEUM OF CALIFORNIA,WOMEN'S MUSEUM OF CALIFORNIA,WOMEN'S HISTORY RECLAMATION PROJECT INC,,2323 BROADWAY STE 107,SAN DIEGO,92102-1946,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102-1946,92102,HTTP://WOMENSMUSEUMCA.ORG/,4,174870,152447,1984,10,-117.2126527,32.73929534,2730 HISTORIC DECATUR ROAD SUITE 103,SAN DIEGO,CA,92102,
8409504362,ART,Art Museum,image/jpeg,demo_001.jpg,344430762,,B42,,611310,WOMEN'S COMMISSION ART GALLERY,WOMEN'S COMMISSION ART GALLERY,DEFIANCE COLLEGE,,701 N CLINTON,DEFIANCE,43512,,,,,,https://www.defiance.edu/offices/womens-commission-art-gallery.html,8,29873186,29873186,1946,11,-84.36063,41.29578,701 N CLINTON ST,DEFIANCE,OH,43512,
8402100006,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,,,,,,WOMEN'S CIVIL WAR MUSEUM,WOMEN'S CIVIL WAR MUSEUM,WOMEN'S CIVIL WAR MUSEUM,,204 E BROADWAY ST,BARDSTOWN,40004,,,,,,HTTP://CIVIL-WAR-MUSEUM.ORG/,,,,1999,,-85.46341,37.8115,204 E BROADWAY ST,BARDSTOWN,KY,40004,
8404700017,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,621465889,,N60,,713990,WOMEN'S BASKETBALL HALL OF FAME,WOMEN'S BASKETBALL HALL OF FAME,HALL OF FAME MANAGEMENT INC,,700 HALL OF FAME DR,KNOXVILLE,37915,,,,,,HTTP://WWW.WBHOF.COM,6,1859598,686203,1992,10,-83.91156,35.96388,700 HALL OF FAME DR,KNOXVILLE,TN,37915,
8400400382,HST,History Museum,image/jpeg,demo_001.jpg,860750873,,A54,,712110,WOMEN'S AIRFORCE SERVICE PILOTS MUSEUM,WOMEN'S AIRFORCE SERVICE PILOTS MUSEUM,W A S P MUSEUM INC,,PO BOX 619,QUARTZSITE,85346-0619,PO BOX 6,QUARTZSITE,AZ,85346-0619,85346,https://www.waspmuseum.org/,0,0,,1995,01,-114.2174,33.66642,PO BOX 6,QUARTZSITE,AZ,85346,
8401200583,ART,Art Museum,image/jpeg,demo_001.jpg,452969541,,A51,,712110,WOMEN PAINTERS OF THE SOUTHEAST,WOMEN PAINTERS OF THE SOUTHEAST,WOMEN PAINTERS OF THE SOUTHEAST,,4144 HERSCHEL ST,JACKSONVILLE,32210-2244,,,,,,,2,23538,23538,2012,09,-81.71334,30.28711,4144 HERSCHEL ST,JACKSONVILLE,FL,32210,
8400800527,GMU,Uncategorized or General Museums,image/jpeg,demo_001.jpg,841177682,,A54,959650979,,WOMEN OF WEST MUSEUM,WOMEN OF WEST MUSEUM,WOMEN OF WEST MUSEUM,,250 BRISTLECONE WAY,BOULDER,80304-0413,250 BRISTLECONE WAY,BOULDER,CO,80304-0413,80304,HTTP://WWW.WOWMUSEUM.ORG,,,,1991,,-105.32339,40.04004,250 BRISTLECONE WAY,BOULDER,CO,80304,*see note about merging with CA museum
